DeviceName,Serial_Number
inhusz1-ldw3405.corp.cyient.com,00329-10380-00000-AA607
inhusz1-ldw3407.corp.cyient.com,00329-00000-00003-AA872
inhusz1-ldw3408.corp.cyient.com,00330-80000-00000-AA604
inhusz1-ldw3409.corp.cyient.com,00329-00000-00003-AA142
inhusz1-ldw3410.corp.cyient.com,00329-10380-00000-AA258
inhusz1-ldw3413.corp.cyient.com,00329-00000-00003-AA174
inhusz1-ldw3418.corp.cyient.com,00329-00000-00003-AA975
inhusz1-ldw3421.corp.cyient.com,00329-10380-75727-AA413
inhusz1-ldw3423.corp.cyient.com,00329-00000-00003-AA316
inhusz1-ldw3424.corp.cyient.com,00329-00000-00003-AA608
inhusz1-ldw343.corp.cyient.com,00330-80000-00000-AA482
inhusz1-ldw3430.corp.cyient.com,00329-10380-00000-AA615
inhusz1-ldw3431.corp.cyient.com,00329-10380-00000-AA153
inhusz1-ldw3435.corp.cyient.com,00329-10380-75727-AA853
inhusz1-ldw3437.corp.cyient.com,00329-10380-23679-AA342
inhusz1-ldw3438.corp.cyient.com,00329-00000-00003-AA922
inhusz1-ldw3442.corp.cyient.com,00329-10380-00000-AA646
inhusz1-ldw3443.corp.cyient.com,00329-00000-00003-AA541
inhusz1-ldw3446.corp.cyient.com,00329-00000-00003-AA377
inhusz1-ldw3447.corp.cyient.com,00329-00000-00003-AA899
inhusz1-ldw3449.corp.cyient.com,00329-10380-00000-AA654
inhusz1-ldw3451.corp.cyient.com,00329-00000-00003-AA848
inhusz1-ldw3452.corp.cyient.com,00329-00000-00003-AA323
inhusz1-ldw3454.corp.cyient.com,00329-00000-00003-AA402
inhusz1-ldw3455.corp.cyient.com,00329-00000-00003-AA130
inhusz1-ldw3457.corp.cyient.com,00329-10380-75727-AA882
inhusz1-ldw3458.corp.cyient.com,00329-00000-00003-AA596
inhusz1-ldw3459.corp.cyient.com,00329-00000-00003-AA808
inhusz1-ldw3460.corp.cyient.com,00329-10380-23679-AA361
inhusz1-ldw3461.corp.cyient.com,00329-00000-00003-AA933
inhusz1-ldw3462.corp.cyient.com,00329-10380-23679-AA273
inhusz1-ldw3464.corp.cyient.com,00329-00000-00003-AA620
inhusz1-ldw3467.corp.cyient.com,00329-00000-00003-AA188
inhusz1-ldw3468.corp.cyient.com,00329-00000-00003-AA419
inhusz1-ldw346v.corp.cyient.com,00330-80000-00000-AA978
inhusz1-ldw3470.corp.cyient.com,00329-00000-00003-AA711
inhusz1-ldw3471.corp.cyient.com,00329-00000-00003-AA761
inhusz1-ldw3476.corp.cyient.com,00329-00000-00003-AA666
inhusz1-ldw3477.corp.cyient.com,00329-00000-00003-AA729
inhusz1-ldw3479.corp.cyient.com,00329-10380-75727-AA365
inhusz1-ldw3484.corp.cyient.com,00329-10380-75727-AA365
inhusz1-ldw3486.corp.cyient.com,00329-10380-75727-AA207
